pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
2,Hull City,46,25,13,8,82,44,38,88,Promotion to Football League One,2003-2004
3,Torquay United,46,23,12,11,68,44,24,81,Promotion to Football League One,2003-2004
4,Huddersfield Town,46,23,12,11,68,52,16,81,Qualification for the Third Division play-offs,2003-2004
5,Mansfield Town,46,22,9,15,76,62,14,75,Qualification for the Third Division play-offs,2003-2004
6,Northampton Town,46,22,9,15,58,51,7,75,Qualification for the Third Division play-offs,2003-2004
7,Lincoln City,46,19,17,10,68,47,21,74,Qualification for the Third Division play-offs,2003-2004
8,Yeovil Town,46,23,5,18,70,57,13,74,,2003-2004
9,Oxford United,46,18,17,11,55,44,11,71,,2003-2004
10,Swansea City,46,15,14,17,58,61,-3,59,,2003-2004
11,Boston United,46,16,11,19,50,54,-4,59,,2003-2004
12,Bury,46,15,11,20,54,64,-10,56,,2003-2004
13,Cambridge United,46,14,14,18,55,67,-12,56,,2003-2004
14,Cheltenham Town,46,14,14,18,57,71,-14,56,,2003-2004
15,Bristol Rovers,46,14,13,19,50,61,-11,55,,2003-2004
16,Kidderminster Harriers,46,14,13,19,45,59,-14,55,,2003-2004
17,Southend United,46,14,12,20,51,63,-12,54,,2003-2004
18,Darlington,46,14,11,21,53,61,-8,53,,2003-2004
19,Leyton Orient,46,13,14,19,48,65,-17,53,,2003-2004
20,Macclesfield Town,46,13,13,20,54,69,-15,52,,2003-2004
21,Rochdale,46,12,14,20,49,58,-9,50,,2003-2004
22,Scunthorpe United,46,11,16,19,69,72,-3,49,,2003-2004
23,Carlisle United,46,12,9,25,46,69,-23,45,Relegation to Football Conference,2003-2004
24,York City,46,10,14,22,35,66,-31,44,Relegation to Football Conference,2003-2004
1,Yeovil Town,46,25,8,13,90,65,25,83,Promotion to League One,2004-2005
2,Scunthorpe United,46,22,14,10,69,42,27,80,Promotion to League One,2004-2005
3,Swansea City,46,24,8,14,62,43,19,80,Promotion to League One,2004-2005
4,Southend United,46,22,12,12,65,46,19,78,Qualification for League Two play-offs,2004-2005
5,Macclesfield Town,46,22,9,15,60,49,11,75,Qualification for League Two play-offs,2004-2005
6,Lincoln City,46,20,12,14,64,47,17,72,Qualification for League Two play-offs,2004-2005
7,Northampton Town,46,20,12,14,62,51,11,72,Qualification for League Two play-offs,2004-2005
8,Darlington,46,20,12,14,57,49,8,72,,2004-2005
9,Rochdale,46,16,18,12,54,48,6,66,,2004-2005
10,Wycombe Wanderers,46,17,14,15,58,52,6,65,,2004-2005
11,Leyton Orient,46,16,15,15,65,67,-2,63,,2004-2005
12,Bristol Rovers,46,13,21,12,60,57,3,60,,2004-2005
13,Mansfield Town,46,15,15,16,56,56,0,60,,2004-2005
14,Cheltenham Town,46,16,12,18,51,54,-3,60,,2004-2005
15,Oxford United,46,16,11,19,50,63,-13,59,,2004-2005
16,Boston United,46,14,16,16,62,58,4,58,,2004-2005
17,Bury,46,14,16,16,54,54,0,58,,2004-2005
18,Grimsby Town,46,14,16,16,51,52,-1,58,,2004-2005
19,Notts County,46,13,13,20,46,62,-16,52,,2004-2005
20,Chester City,46,12,16,18,43,69,-26,52,,2004-2005
21,Shrewsbury Town,46,11,16,19,48,53,-5,49,,2004-2005
22,Rushden & Diamonds,46,10,14,22,42,63,-21,44,,2004-2005
23,Kidderminster Harriers,46,10,8,28,39,85,-46,38,Relegation to Conference National,2004-2005
24,Cambridge United,46,8,16,22,39,62,-23,30,Relegation to Conference National,2004-2005
1,Birmingham City,46,34,9,3,84,31,53,111,Promotion to EFL Championship,2005-2006
2,Wrexham,46,27,11,8,67,34,33,92,Promotion to EFL Championship,2005-2006
3,Stockport County,46,25,12,9,72,42,30,87,Qualification for League One play-offs,2005-2006
4,Charlton Athletic,46,25,10,11,67,43,24,85,Qualification for League One play-offs,2005-2006
5,Wycombe Wanderers,46,24,12,10,70,45,25,84,Qualification for League One play-offs,2005-2006
6,Leyton Orient,46,24,6,16,72,48,24,78,Qualification for League One play-offs,2005-2006
7,Reading,46,21,12,13,68,57,11,75,,2005-2006
8,Bolton Wanderers,46,20,8,18,67,70,-3,68,,2005-2006
9,Blackpool,46,17,16,13,72,60,12,67,,2005-2006
10,Huddersfield Town,46,19,7,20,58,55,3,64,,2005-2006
11,Lincoln City,46,16,13,17,64,56,8,61,,2005-2006
12,Barnsley,46,17,10,19,69,73,-4,61,,2005-2006
13,Rotherham United,46,16,11,19,54,59,-5,59,,2005-2006
14,Stevenage,46,15,12,19,42,50,-8,57,,2005-2006
15,Wigan Athletic,46,13,17,16,40,42,-2,56,,2005-2006
16,Exeter City,46,15,11,20,49,65,-16,56,,2005-2006
17,Mansfield Town,46,15,9,22,60,73,-13,54,,2005-2006
18,Peterborough United,46,13,12,21,68,81,-13,51,,2005-2006
19,Northampton Town,46,12,15,19,48,66,-18,51,,2005-2006
20,Burton Albion,46,11,14,21,49,66,-17,47,,2005-2006
21,Crawley Town,46,12,10,24,57,83,-26,46,Relegation to EFL League Two,2005-2006
22,Bristol Rovers,46,12,7,27,44,76,-32,43,Relegation to EFL League Two,2005-2006
23,Cambridge United,46,9,11,26,45,73,-28,38,Relegation to EFL League Two,2005-2006
24,Shrewsbury Town,46,8,9,29,41,79,-38,33,Relegation to EFL League Two,2005-2006
1,Birmingham City,46,34,9,3,84,31,53,111,Promotion to EFL Championship,2006-2007
2,Wrexham,46,27,11,8,67,34,33,92,Promotion to EFL Championship,2006-2007
3,Stockport County,46,25,12,9,72,42,30,87,Qualification for League One play-offs,2006-2007
4,Charlton Athletic,46,25,10,11,67,43,24,85,Qualification for League One play-offs,2006-2007
5,Wycombe Wanderers,46,24,12,10,70,45,25,84,Qualification for League One play-offs,2006-2007
6,Leyton Orient,46,24,6,16,72,48,24,78,Qualification for League One play-offs,2006-2007
7,Reading,46,21,12,13,68,57,11,75,,2006-2007
8,Bolton Wanderers,46,20,8,18,67,70,-3,68,,2006-2007
9,Blackpool,46,17,16,13,72,60,12,67,,2006-2007
10,Huddersfield Town,46,19,7,20,58,55,3,64,,2006-2007
11,Lincoln City,46,16,13,17,64,56,8,61,,2006-2007
12,Barnsley,46,17,10,19,69,73,-4,61,,2006-2007
13,Rotherham United,46,16,11,19,54,59,-5,59,,2006-2007
14,Stevenage,46,15,12,19,42,50,-8,57,,2006-2007
15,Wigan Athletic,46,13,17,16,40,42,-2,56,,2006-2007
16,Exeter City,46,15,11,20,49,65,-16,56,,2006-2007
17,Mansfield Town,46,15,9,22,60,73,-13,54,,2006-2007
18,Peterborough United,46,13,12,21,68,81,-13,51,,2006-2007
19,Northampton Town,46,12,15,19,48,66,-18,51,,2006-2007
20,Burton Albion,46,11,14,21,49,66,-17,47,,2006-2007
21,Crawley Town,46,12,10,24,57,83,-26,46,Relegation to EFL League Two,2006-2007
22,Bristol Rovers,46,12,7,27,44,76,-32,43,Relegation to EFL League Two,2006-2007
23,Cambridge United,46,9,11,26,45,73,-28,38,Relegation to EFL League Two,2006-2007
24,Shrewsbury Town,46,8,9,29,41,79,-38,33,Relegation to EFL League Two,2006-2007
1,Milton Keynes Dons,46,29,10,7,82,37,45,97,Promotion to 2008–09 League One,2007-2008
2,Peterborough United,46,28,8,10,84,43,41,92,Promotion to 2008–09 League One,2007-2008
3,Hereford United,46,26,10,10,72,41,31,88,Promotion to 2008–09 League One,2007-2008
4,Stockport County,46,24,10,12,72,54,18,82,Qualification for League Two playoffs,2007-2008
5,Rochdale,46,23,11,12,77,54,23,80,Qualification for League Two playoffs,2007-2008
6,Darlington,46,22,12,12,67,40,27,78,Qualification for League Two playoffs,2007-2008
7,Wycombe Wanderers,46,22,12,12,56,42,14,78,Qualification for League Two playoffs,2007-2008
8,Chesterfield,46,19,12,15,76,56,20,69,,2007-2008
9,Rotherham United,46,21,11,14,62,58,4,64,,2007-2008
10,Bradford City,46,17,11,18,63,61,2,62,,2007-2008
11,Morecambe,46,16,12,18,59,63,-4,60,,2007-2008
12,Barnet,46,16,12,18,56,63,-7,60,,2007-2008
13,Bury,46,16,11,19,58,61,-3,59,,2007-2008
14,Brentford,46,17,8,21,52,70,-18,59,,2007-2008
15,Lincoln City,46,18,4,24,61,77,-16,58,,2007-2008
16,Grimsby Town,46,15,10,21,55,66,-11,55,,2007-2008
17,Accrington Stanley,46,16,3,27,49,83,-34,51,,2007-2008
18,Shrewsbury Town,46,12,14,20,56,65,-9,50,,2007-2008
19,Macclesfield Town,46,11,17,18,47,64,-17,50,,2007-2008
